name,id,bin_center,bin_min,bin_max,bin_width,bin_magnitude,count,mass_raw,mass_raw_error,selection_function,selection_function_error,binary_correction,binary_correction_error,mass_corrected,mass_corrected_error,break_mass,break_mass_err,n_bins_before_break,n_bins_after_break,low_slope,high_slope,distance_16,distance_50,distance_84,cst,class_50,a_v_50,distance_50.1,kind,age_16,age,age_84,age_err_low,age_err_high
ASCC_127,64,0.1398347338010898,0.1222677274447444,0.1599257071826941,0.0376579797379496,19.72412284118155,10,265.5479680425487,83.97364070440585,0.584600304809259,0.1045817248485501,202.1845420046732,77.10090428764525,656.4230462579178,182.1568478168076,0.3669992194087128,0.0314233876240372,4,9,0.0629724982359524,-2.466170783141896,373.95730880238096,374.193441773798,374.42987314297,23.6370413933294,0.994124561548233,0.294033765792847,374.193441773798,o,,7.26,,0.019999999999999574,0.019000000000000128
Theia_274,5555,0.3653825588909034,0.3348416016246625,0.3987091618660783,0.0638675602414158,20.152685053620065,13,203.54621267605515,56.453562056155,0.1342234247680136,0.1696282999953101,206.98662813694745,59.5730301595677,1723.459725346739,1962.9953631587448,0.7147105474146193,0.0740516699233467,4,11,-0.5125301313485342,-2.7082380762379783,744.979096424631,745.584547147029,746.19098277957,27.7050719876869,0.996686100959778,0.205945029854774,745.584547147029,o,7.825147151947021,8.09691143035889,8.32715892791748,0.2717642784118697,0.2302474975585902
Trumpler_29,6066,0.63037937490978,0.5813425766096609,0.6835524737051251,0.1022098970954641,19.276123707092893,12,117.4054601463104,33.89203700990209,0.0872970451797208,0.1662429906549394,74.7502136028537,27.39252177648381,1419.646365638751,2590.539331370992,1.0179341290741948,0.1358639398054928,3,10,-0.0097392127360592,-3.287074684017662,1381.05758158302,1384.74345382977,1388.44905300154,24.1904806721586,0.998936772346497,0.705182611942291,1384.74345382977,o,7.72,7.762,7.795,0.041999999999999815,0.03300000000000036
IC_2391,4289,0.105528929970936,0.0899999999999999,0.1237372784534526,0.0337372784534526,18.95256308514831,20,592.8160455382919,132.55769759762316,0.8397959188507002,0.0810140894549656,333.0955063420817,94.75304227826946,1039.0003961271957,196.29195859192475,0.379425492793592,0.0384198947330389,5,8,-0.4734914001134015,-2.294053471570288,150.161152775643,150.190660132095,150.22017908749,26.0630562623784,0.997392505407333,0.0909974724054337,150.190660132095,o,7.54,7.561,7.582999999999999,0.020999999999999908,0.021999999999999353
NGC_7082,4845,0.5913951813146111,0.5511585995829583,0.6345691798091939,0.0834105802262356,19.63474859000346,10,119.888867489914,37.91218873662421,0.1758738549079836,0.1500035375130617,122.60753697574476,40.785326826170326,804.2828636048179,621.4192090258676,0.9429627158402862,0.0574315014564263,4,11,0.2939653091249942,-3.1055124023196554,1319.06176448738,1321.37165591401,1323.68965152262,30.0404595475528,0.999918818473816,0.744578957557678,1321.37165591401,o,,7.79,,0.019999999999999574,0.019000000000000128
NGC_2204,4520,0.7324989959867031,0.7066491325322533,0.7592944707917523,0.052645338259499,20.1158728442981,10,189.9503418651823,60.06757226216125,0.0443693271959685,0.0975622109308393,274.3106407523662,79.28694368614663,4555.429013952344,9510.78680395792,1.2570477994970053,0.1058884765989517,8,6,-1.819670469274536,-3.704933376657678,4090.03765852753,4113.4638553108,4137.15995085419,99.0,0.999199599027634,0.0514993220567703,4113.4638553108,o,,9.32,,0.019999999999999574,0.019000000000000128
BH_56,136,0.246847941191389,0.2214318518911891,0.275181305444576,0.0537494535533868,20.2545935607704,6,111.62904184766218,45.572365500427104,0.1737517867297887,0.1680787471474714,159.46203007140866,52.65304536736034,801.9247290090767,676.6168829573634,0.6043068651597878,0.0487718634835624,5,12,-0.2840569635466659,-2.6118472115913804,878.583559382575,879.946994541833,881.314667988339,24.0204684310723,0.968765109777451,0.66675341129303,879.946994541833,o,,7.25,,0.019999999999999574,0.019000000000000128
RSG_8,5207,0.1617094118271958,0.1393187422762276,0.1876986071382275,0.0483798648619998,20.135337950904788,4,82.67902383377289,41.33951191688645,0.0888906612206902,0.1664164582068567,79.33814182840518,41.08665373612799,1009.458614534806,1802.824173763204,0.5560110099509916,0.0821925370581753,5,9,-0.4747650022113009,-2.4724236031926887,480.91305197172,481.42407064553,481.936176492444,15.8122868604844,0.995045036077499,0.420303657650948,481.42407064553,o,,7.43,,0.019999999999999574,0.019000000000000128
UBC_159,6155,0.164814047171836,0.1472782382838284,0.1844377720815177,0.0371595337976893,19.39349749135676,2,53.82198848050044,38.0578930315061,0.564879562592373,0.1159614687506443,148.60363408769263,69.84817446959471,243.8841010132403,98.9976373759156,0.5413931294757015,0.0377484067826923,6,11,0.2128996451040917,-2.7573689106969304,486.521232538962,487.016155301246,487.5120860276489,21.5750147787611,0.892139434814453,0.424844086170197,487.016155301246,o,,7.16,,0.019999999999999574,0.019000000000000128
OC_0343,4981,0.3277125188142951,0.2876746442244224,0.3733227698157079,0.0856481255912854,19.48808819900573,2,23.351357501319296,16.51190323909423,0.2307025788603834,0.1604685325155894,40.530764112591655,21.509319727839483,141.74921436429463,102.6740297744876,0.856215840618574,0.1065858665450647,4,8,-0.0519077522574349,-3.050790105735828,641.212055158987,642.379065805114,643.550332132494,16.482548397539,0.995334684848785,0.147938758134842,642.379065805114,o,7.24722671508789,7.48846530914307,7.74074268341064,0.24123859405518022,0.25227737426757013
