name,id,bin_center,bin_min,bin_max,bin_width,bin_magnitude,count,mass_raw,mass_raw_error,selection_function,selection_function_error,binary_correction,binary_correction_error,mass_corrected,mass_corrected_error,break_mass,break_mass_err,age_16,age,age_84,age_error
NGC_6178,4694,1.101147663,0.953193759,1.272066843,0.318873084,15.83335218,23,72.12901033,15.03993833,0.729550949,0.051919734,15.07484407,7.061554334,113.9425249,22.89899924,0.639479159,0.044822167,,7.22,,
NGC_6178,4694,1.46951595,1.272066843,1.697612934,0.425546091,14.49902306,13,30.54898231,8.47276324,0.823373381,0.048892249,8.358582306,4.768088153,45.4608047,11.55330649,0.639479159,0.044822167,,7.22,,
NGC_6178,4694,1.961114934,1.697612934,2.265517484,0.56790455,12.50049881,19,33.45632643,7.675407682,0.793378459,0.060507698,5.2602885,3.261261389,47.42972989,10.70382085,0.639479159,0.044822167,,7.22,,
NGC_6178,4694,2.617169133,2.265517484,3.023403843,0.75788636,11.58776154,6,7.916754173,3.232001357,0.802336649,0.078120806,2.035557837,1.690030752,11.90268055,4.472794209,0.639479159,0.044822167,,7.22,,
NGC_6178,4694,3.492693952,3.023403843,4.034826862,1.011423019,10.84461337,4,3.954823972,1.977411986,0.900056294,0.079672982,0.923000848,0.984951214,5.316974866,2.438886318,0.639479159,0.044822167,,7.22,,
NGC_6178,4694,4.66110917,4.034826862,5.384602471,1.349775609,10.11698723,2,1.481727767,1.047739752,0.816523325,0.10065071,0.399738266,0.563031776,2.214417311,1.419004003,0.639479159,0.044822167,,7.22,,
NGC_6178,4694,6.220395772,5.384602471,7.185920181,1.801317709,9.452163768,0,0,0,0.845802681,0.098400834,0.186220918,0.345567736,0.186220918,164306828.7,0.639479159,0.044822167,,7.22,,
NGC_6178,4694,8.301312446,7.185920181,9.589834926,2.403914746,8.636722005,3,1.24796439,0.720512577,0.859485604,0.094387473,0.10597166,0.217004452,1.55796153,0.880497112,0.639479159,0.044822167,,7.22,,
NGC_2548,4591,0.364155104,0.336443519,0.394149187,0.057705667,20.26046327,11,190.6225244,57.47485364,0.069909695,0.142387099,322.8988477,79.62060679,3049.595403,5614.629426,0.600757642,0.046218193,,8.59,,
NGC_2548,4591,0.426613769,0.394149187,0.461752337,0.067603151,19.6374152,47,695.2338701,101.4102826,0.405385085,0.165710355,307.0181716,63.32838268,2022.014345,747.0285195,0.600757642,0.046218193,,8.59,,
NGC_2548,4591,0.499785137,0.461752337,0.540950554,0.079198217,18.95896338,71,896.4848298,106.3931753,0.705856793,0.140059457,280.2366704,58.91068929,1550.302836,299.4996971,0.600757642,0.046218193,,8.59,,
NGC_2548,4591,0.585506612,0.540950554,0.633732584,0.09278203,18.03146057,112,1207.1303,114.0630919,0.884418124,0.072800927,231.4545186,54.25805328,1596.340953,179.4429885,0.600757642,0.046218193,,8.59,,
NGC_2548,4591,0.685930748,0.633732584,0.742428278,0.108695694,16.97810335,93,855.5996721,88.721553,0.916590331,0.043164423,171.6229558,39.58548526,1105.08215,113.4402967,0.600757642,0.046218193,,8.59,,
NGC_2548,4591,0.803579297,0.742428278,0.869767094,0.127338816,15.89842675,84,659.6574617,71.97452979,0.931461423,0.036507723,114.1801756,25.59489074,822.3763985,86.0016841,0.600757642,0.046218193,,8.59,,
NGC_2548,4591,0.941406531,0.869767094,1.018946638,0.149179544,14.95936314,72,482.6398997,56.87965766,0.946044303,0.033291498,89.60281112,24.19118453,599.7690877,67.24860234,0.600757642,0.046218193,,8.59,,
NGC_2548,4591,1.102873431,1.018946638,1.193712958,0.17476632,14.05895692,57,326.1497979,43.19959605,0.927402964,0.048310921,59.23634471,19.10567581,410.9171248,53.57669999,0.600757642,0.046218193,,8.59,,
NGC_2548,4591,1.292034594,1.193712958,1.398454613,0.204741655,13.19584925,45,219.7891777,32.76423614,0.932912596,0.04591355,40.26832896,15.6312284,275.8629374,40.15241418,0.600757642,0.046218193,,8.59,,
NGC_2548,4591,1.513640048,1.398454613,1.638312872,0.239858259,12.38470768,30,125.073867,22.83525944,0.930736075,0.100475531,25.3746982,10.42410608,159.756367,30.34895547,0.600757642,0.046218193,,8.59,,
NGC_2548,4591,1.773254527,1.638312872,1.919310818,0.280997946,11.62673655,32,113.8798361,20.13130109,0.896940372,0.087860755,17.46089214,7.192520296,144.4256712,26.6488708,0.600757642,0.046218193,,8.59,,
NGC_2548,4591,2.077397214,1.919310818,2.248504591,0.329193774,10.95839756,29,88.09401124,16.35864721,0.824213523,0.100516269,10.44627571,6.098517182,117.3287871,24.51578387,0.600757642,0.046218193,,8.59,,
NGC_2548,4591,2.433705438,2.248504591,2.63416058,0.385655989,10.27123087,18,46.67372091,11.00110152,0.896966835,0.072033933,5.465787461,3.728393726,57.50084504,13.48289852,0.600757642,0.046218193,,8.59,,
NGC_2548,4591,2.851126457,2.63416058,3.085962995,0.451802415,9.334297856,18,39.84042452,9.390478114,0.927184846,0.067814807,2.99360504,2.731692329,45.96284109,10.95055181,0.600757642,0.046218193,,8.59,,
Alessi_62,94,0.417723841,0.376983856,0.462866526,0.08588267,19.78899464,8,93.15034158,32.9336191,0.274205224,0.153794053,98.97223793,33.98839284,438.6825476,227.7801849,0.843043402,0.077412493,8.937,8.964,8.997,
Alessi_62,94,0.512887701,0.462866526,0.568314576,0.105448051,18.89389042,30,284.50028,51.94240698,0.786811665,0.08165426,85.52409028,28.41322075,447.1103411,81.07765323,0.843043402,0.077412493,8.937,8.964,8.997,
Alessi_62,94,0.629731338,0.568314576,0.697785301,0.129470724,17.68248122,36,278.0551368,46.34252281,0.89134484,0.044748449,65.4216119,22.17742966,377.3717396,58.65354687,0.843043402,0.077412493,8.937,8.964,8.997,
Alessi_62,94,0.773193737,0.697785301,0.85675143,0.158966129,16.30015946,43,270.497874,41.25053907,0.926623503,0.038466161,47.06443701,18.34234468,338.9822149,49.64935235,0.843043402,0.077412493,8.937,8.964,8.997,
Alessi_62,94,0.949339057,0.85675143,1.051932467,0.195181037,15.10470852,28,143.4565593,27.11074142,0.945442867,0.04130941,29.35406989,12.08565746,181.0888434,31.81639212,0.843043402,0.077412493,8.937,8.964,8.997,
Alessi_62,94,1.165612967,1.051932467,1.29157872,0.239646253,13.96561739,33,137.7029669,23.9710097,0.936026121,0.042552888,22.12741587,9.891733513,169.2418647,28.25622016,0.843043402,0.077412493,8.937,8.964,8.997,
Alessi_62,94,1.431157371,1.29157872,1.585820042,0.294241322,12.89038715,24,81.56570195,16.64952919,0.960182909,0.039976116,11.52863849,6.615297352,96.47672621,18.89297723,0.843043402,0.077412493,8.937,8.964,8.997,
Alessi_62,94,1.757196838,1.585820042,1.947094023,0.361273981,11.88386152,19,52.59166446,12.0653553,0.882359858,0.07570336,5.49787318,4.042427732,65.10129233,15.14823532,0.843043402,0.077412493,8.937,8.964,8.997,
Alessi_62,94,2.157513065,1.947094023,2.390671725,0.443577702,10.99664397,3,6.763189375,3.904729206,0.940590424,0.057036421,1.29265852,1.702481818,8.48302449,4.508030849,0.843043402,0.077412493,8.937,8.964,8.997,
Alessi_62,94,2.649027433,2.390671725,2.93530319,0.544631465,9.983939794,5,9.180519902,4.105653314,0.883400472,0.081040943,0.753813331,1.191202598,11.14606486,4.891588241,0.843043402,0.077412493,8.937,8.964,8.997,
NGC_7039,4838,0.228329,0.202372934,0.257614155,0.055241221,19.74692371,4,72.40969536,36.20484768,0.290415409,0.167364474,87.7428273,40.78647781,337.0742786,194.554206,0.432578002,0.048958016,,7.34,,
NGC_7039,4838,0.290655382,0.257614155,0.327934431,0.070320276,19.20140822,14,199.0890939,53.20879847,0.544542121,0.15454118,84.72850785,36.75705568,450.3367614,147.1902575,0.432578002,0.048958016,,7.34,,
NGC_7039,4838,0.369994837,0.327934431,0.417449852,0.089515421,18.59862383,26,290.4527465,56.96247008,0.713095809,0.118789327,70.1037008,28.67606377,477.4160744,108.6599859,0.432578002,0.048958016,,7.34,,
NGC_7039,4838,0.47099138,0.417449852,0.531400069,0.113950217,17.96375261,38,333.4789623,54.09743118,0.781692657,0.093157736,48.61291763,20.90616904,475.2242708,88.38150758,0.432578002,0.048958016,,7.34,,
NGC_7039,4838,0.59955669,0.531400069,0.676454984,0.145054915,17.35159155,19,130.9848753,30.0499913,0.829292661,0.079417185,28.34175665,13.98992608,186.2894649,41.68374713,0.432578002,0.048958016,,7.34,,
NGC_7039,4838,0.763216144,0.676454984,0.861105168,0.184650184,16.1409958,24,129.9755001,26.53113785,0.881895211,0.074002769,18.25273226,10.24604117,165.634755,34.10267954,0.432578002,0.048958016,,7.34,,
